user_id,frequency,recency,T,monetary_value,total_orders,total_spend,avg_order_value,unique_products,avg_basket_size,interpurchase_std,is_one_time_buyer,cancellation_rate,country,actual_holdout_transactions,actual_holdout_revenue,purchased_in_holdout
12346,11,141,541,7046.496363636365,12,77556.46,6463.038333333334,27,2.8333333333333335,65.42698914890481,0,0.29411764705882354,United Kingdom,0,0.0,0
12347,3,62,220,607.81,4,2434.96,608.74,90,31.0,16.703293088490067,0,0.0,Iceland,4,2486.57,1
12348,3,64,254,389.08,4,1388.3999999999999,347.09999999999997,24,10.0,21.37755832643195,0,0.0,Finland,1,270.0,1
12349,1,223,405,1152.62,2,2221.14,1110.57,89,50.0,0.0,0,0.25,Italy,1,1457.55,1
12350,0,126,126,294.4,1,294.4,294.4,16,16.0,0.0,1,0.0,Norway,0,0.0,0
12351,0,191,191,300.93,1,300.93,300.93,21,21.0,0.0,1,0.0,Unspecified,0,0.0,0
12352,5,78,208,168.312,6,985.31,164.21833333333333,36,8.5,30.078231330980884,0,0.3,Norway,3,744.23,1
12353,1,20,224,89.0,2,406.76,203.38,23,12.0,0.0,0,0.0,Bahrain,0,0.0,0
12354,0,48,48,1079.4,1,1079.4,1079.4,58,58.0,0.0,1,0.0,Spain,0,0.0,0
12355,1,30,383,459.4,2,947.61,473.805,35,17.5,0.0,0,0.0,Bahrain,0,0.0,0
12356,4,61,240,1188.735,5,5553.38,1110.676,103,27.2,29.37544325906703,0,0.0,Portugal,1,58.349999999999994,1
12357,0,204,204,11229.99,1,11229.99,11229.99,164,164.0,0.0,1,0.0,Switzerland,1,6207.67,1
12358,2,191,547,544.59,3,2519.01,839.6700000000001,51,18.666666666666668,4.949747468305833,0,0.0,Austria,2,928.0600000000001,1
12359,8,5,550,662.3,9,6059.09,673.2322222222223,230,28.88888888888889,43.54882317583335,0,0.25,Cyprus,1,2814.3,1
12360,3,16,471,705.4699999999999,4,2234.41,558.6025,107,32.25,52.348193219378004,0,0.14285714285714285,Austria,2,1378.48,1
12361,3,103,498,119.01666666666667,4,451.25,112.8125,17,6.25,37.8021163428716,0,0.0,Belgium,0,0.0,0
12362,1,41,111,450.24,2,884.3399999999999,442.16999999999996,51,27.0,0.0,0,0.25,Belgium,8,3852.89,1
12363,0,58,58,299.1,1,299.1,299.1,16,16.0,0.0,1,0.0,Unspecified,1,252.9,1
12365,0,107,107,320.69,1,320.69,320.69,21,21.0,0.0,1,0.3333333333333333,Cyprus,0,0.0,0
12366,0,449,449,500.24,1,500.24,500.24,3,3.0,0.0,1,0.0,Cyprus,0,0.0,0
12368,0,444,444,917.6999999999999,1,917.6999999999999,917.6999999999999,18,18.0,0.0,1,0.0,Cyprus,0,0.0,0
12369,2,229,457,601.415,3,1511.1499999999999,503.71666666666664,89,30.0,111.01576464628796,0,0.0,Austria,0,0.0,0
12370,5,90,484,562.864,6,3217.2799999999997,536.2133333333333,149,28.166666666666668,109.1274484261407,0,0.0,Cyprus,1,739.28,1
12371,2,225,461,789.27,3,1819.42,606.4733333333334,90,33.666666666666664,166.17009357883867,0,0.0,Switzerland,1,1527.96,1
12372,1,28,112,479.7,2,842.9200000000001,421.46000000000004,31,18.5,0.0,0,0.0,Denmark,1,353.12,1
12373,2,127,489,284.875,3,927.6500000000001,309.2166666666667,35,16.0,185.969083452062,0,0.0,Austria,0,0.0,0
12374,1,237,404,657.75,2,2046.29,1023.145,46,24.5,0.0,0,0.0,Austria,1,622.93,1
12376,1,205,233,30.599999999999998,2,383.15000000000003,191.57500000000002,10,5.5,0.0,0,0.0,Switzerland,0,0.0,0
12377,3,131,405,685.12,4,3266.32,816.58,128,37.5,101.53324578678651,0,0.0,Switzerland,0,0.0,0
12378,0,378,378,1407.7,1,1407.7,1407.7,82,82.0,0.0,1,0.0,Switzerland,1,4008.62,1
12379,1,238,350,370.5,2,692.98,346.49,36,19.5,0.0,0,0.0,Belgium,2,777.24,1
12380,4,1,478,959.185,5,5345.39,1069.078,123,40.4,120.0482541869449,0,0.2727272727272727,Belgium,3,1865.26,1
12383,4,0,168,268.21,5,1628.56,325.712,83,18.8,18.5,0,0.16666666666666666,Belgium,0,0.0,0
12385,0,195,195,1668.4,1,1668.4,1668.4,64,64.0,0.0,1,0.5,Belgium,0,0.0,0
12386,1,153,182,143.0,2,401.9,200.95,10,5.0,0.0,0,0.0,Australia,0,0.0,0
12387,0,231,231,143.94,1,143.94,143.94,9,9.0,0.0,1,0.0,Australia,0,0.0,0
12388,4,91,398,356.27000000000004,5,1886.7,377.34000000000003,52,16.2,59.174177926975325,0,0.0,Australia,3,2014.41,1
12389,2,218,471,634.24,3,1433.33,477.77666666666664,41,16.333333333333332,53.74011537017761,0,0.0,Australia,0,0.0,0
12391,4,280,478,393.1975,5,2285.1800000000003,457.03600000000006,159,33.4,61.37589103222861,0,0.16666666666666666,Cyprus,1,439.66,1
12392,0,407,407,234.75000000000003,1,234.75000000000003,234.75000000000003,7,7.0,0.0,1,0.0,Australia,0,0.0,0
12393,4,61,244,393.5375,5,1877.9499999999998,375.59,53,16.4,32.78592177546129,0,0.16666666666666666,Australia,1,521.5,1
12394,0,33,33,351.08,1,351.08,351.08,20,20.0,0.0,1,0.0,Belgium,1,729.4,1
12395,8,27,418,239.1025,9,2948.26,327.58444444444444,116,17.333333333333332,34.83430164979013,0,0.18181818181818182,Belgium,6,1292.91,1
12396,0,490,490,931.43,1,931.43,931.43,65,65.0,0.0,1,0.0,RSA,0,0.0,0
12399,4,29,460,335.40500000000003,5,1532.6000000000001,306.52000000000004,54,17.6,39.870624106811604,0,0.0,Belgium,2,309.7,1
12400,0,230,230,205.25,1,205.25,205.25,11,11.0,0.0,1,0.0,Australia,0,0.0,0
12401,0,119,119,69.3,1,69.3,69.3,4,4.0,0.0,1,0.0,Belgium,0,0.0,0
12402,5,139,486,192.04,6,1136.9,189.48333333333335,42,10.666666666666666,7.874007874011811,0,0.14285714285714285,Belgium,0,0.0,0
12403,0,337,337,555.6600000000001,1,555.6600000000001,555.6600000000001,3,3.0,0.0,1,0.0,Denmark,1,391.7,1
12404,0,498,498,63.24,1,63.24,63.24,1,1.0,0.0,1,0.0,Finland,0,0.0,0
12406,2,215,513,1046.93,3,2975.0600000000004,991.6866666666668,44,20.333333333333332,67.17514421272202,0,0.25,Denmark,2,3415.3,1
12407,1,51,80,239.66,2,450.96000000000004,225.48000000000002,22,12.5,0.0,0,0.0,Belgium,3,1056.16,1
12408,4,76,314,467.67749999999995,5,2049.81,409.962,65,17.2,51.69381007432128,0,0.4444444444444444,Belgium,3,1855.96,1
12409,3,236,381,1848.0466666666664,4,12346.619999999999,3086.6549999999997,125,38.75,48.99319680663156,0,0.3333333333333333,Switzerland,3,11072.67,1
