user_id,frequency,recency,T,monetary_value,total_orders,total_spend,avg_order_value,unique_products,avg_basket_size,interpurchase_std,is_one_time_buyer,cancellation_rate,country,actual_holdout_transactions,actual_holdout_revenue,purchased_in_holdout,recency_ratio,country_enc,p_purchase,is_test
12346,11,141,541,7046.496363636365,12,77556.46,6463.038333333334,27,2.8333333333333335,65.42698914890481,0,0.2941176470588235,United Kingdom,0,0.0,0,0.26062846580406657,38,0.6548854112625122,False
12347,3,62,220,607.81,4,2434.96,608.74,90,31.0,16.703293088490067,0,0.0,Iceland,4,2486.57,1,0.2818181818181818,16,0.8195427894592285,False
12348,3,64,254,389.08,4,1388.4,347.09999999999997,24,10.0,21.37755832643195,0,0.0,Finland,1,270.0,1,0.25196850393700787,12,0.7527235150337219,False
12349,1,223,405,1152.62,2,2221.14,1110.57,89,50.0,0.0,0,0.25,Italy,1,1457.55,1,0.5506172839506173,18,0.5982216358184814,False
12350,0,126,126,294.4,1,294.4,294.4,16,16.0,0.0,1,0.0,Norway,0,0.0,0,1.0,26,0.37661305665969846,True
12351,0,191,191,300.93,1,300.93,300.93,21,21.0,0.0,1,0.0,Unspecified,0,0.0,0,1.0,39,0.3534222662448883,False
12352,5,78,208,168.312,6,985.31,164.21833333333333,36,8.5,30.078231330980884,0,0.3,Norway,3,744.23,1,0.375,26,0.7138790845870971,False
12353,1,20,224,89.0,2,406.76,203.38,23,12.0,0.0,0,0.0,Bahrain,0,0.0,0,0.08928571428571429,2,0.5213542342185974,False
12354,0,48,48,1079.4,1,1079.4,1079.4,58,58.0,0.0,1,0.0,Spain,0,0.0,0,1.0,32,0.6401659607887268,True
12355,1,30,383,459.4,2,947.61,473.805,35,17.5,0.0,0,0.0,Bahrain,0,0.0,0,0.0783289817232376,2,0.47103541493415835,False
12356,4,61,240,1188.735,5,5553.38,1110.676,103,27.2,29.37544325906703,0,0.0,Portugal,1,58.349999999999994,1,0.25416666666666665,28,0.8677548289299011,False
12357,0,204,204,11229.99,1,11229.99,11229.99,164,164.0,0.0,1,0.0,Switzerland,1,6207.67,1,1.0,34,0.4011437177658081,False
12358,2,191,547,544.59,3,2519.01,839.6700000000001,51,18.666666666666668,4.949747468305833,0,0.0,Austria,2,928.06,1,0.3491773308957952,1,0.5113704681396485,False
12359,8,5,550,662.3,9,6059.09,673.2322222222223,230,28.88888888888889,43.54882317583335,0,0.25,Cyprus,1,2814.3,1,0.00909090909090909,7,0.9808278918266297,True
12360,3,16,471,705.4699999999999,4,2234.41,558.6025,107,32.25,52.348193219378,0,0.1428571428571428,Austria,2,1378.48,1,0.03397027600849257,1,0.799975049495697,False
12361,3,103,498,119.01666666666668,4,451.25,112.8125,17,6.25,37.8021163428716,0,0.0,Belgium,0,0.0,0,0.20682730923694778,3,0.5815170407295227,False
12362,1,41,111,450.24,2,884.3399999999999,442.17,51,27.0,0.0,0,0.25,Belgium,8,3852.89,1,0.36936936936936937,3,0.7104158759117126,False
12363,0,58,58,299.1,1,299.1,299.1,16,16.0,0.0,1,0.0,Unspecified,1,252.9,1,1.0,39,0.5292003870010376,False
12365,0,107,107,320.69,1,320.69,320.69,21,21.0,0.0,1,0.3333333333333333,Cyprus,0,0.0,0,1.0,7,0.4517854869365692,False
12366,0,449,449,500.24,1,500.24,500.24,3,3.0,0.0,1,0.0,Cyprus,0,0.0,0,1.0,7,0.15031507536768912,False
12368,0,444,444,917.7,1,917.7,917.7,18,18.0,0.0,1,0.0,Cyprus,0,0.0,0,1.0,7,0.1352343074977398,False
12369,2,229,457,601.415,3,1511.15,503.71666666666664,89,30.0,111.01576464628796,0,0.0,Austria,0,0.0,0,0.5010940919037199,1,0.478334504365921,False
12370,5,90,484,562.864,6,3217.2799999999997,536.2133333333333,149,28.166666666666668,109.1274484261407,0,0.0,Cyprus,1,739.28,1,0.1859504132231405,7,0.7631679534912109,False
12371,2,225,461,789.27,3,1819.42,606.4733333333334,90,33.666666666666664,166.17009357883867,0,0.0,Switzerland,1,1527.96,1,0.4880694143167028,34,0.49518808126449587,False
12372,1,28,112,479.7,2,842.9200000000001,421.46,31,18.5,0.0,0,0.0,Denmark,1,353.12,1,0.25,9,0.6944207668304443,False
12373,2,127,489,284.875,3,927.65,309.2166666666667,35,16.0,185.969083452062,0,0.0,Austria,0,0.0,0,0.25971370143149286,1,0.4517854869365692,True
12374,1,237,404,657.75,2,2046.29,1023.145,46,24.5,0.0,0,0.0,Austria,1,622.93,1,0.5866336633663366,1,0.46541209816932677,False
12376,1,205,233,30.6,2,383.15,191.575,10,5.5,0.0,0,0.0,Switzerland,0,0.0,0,0.8798283261802575,34,0.3534222662448883,False
12377,3,131,405,685.12,4,3266.32,816.58,128,37.5,101.53324578678652,0,0.0,Switzerland,0,0.0,0,0.3234567901234568,34,0.6548854112625122,False
12378,0,378,378,1407.7,1,1407.7,1407.7,82,82.0,0.0,1,0.0,Switzerland,1,4008.62,1,1.0,34,0.30664960145950315,False
12379,1,238,350,370.5,2,692.98,346.49,36,19.5,0.0,0,0.0,Belgium,2,777.24,1,0.68,3,0.4517854869365692,True
12380,4,1,478,959.185,5,5345.39,1069.078,123,40.4,120.0482541869449,0,0.2727272727272727,Belgium,3,1865.26,1,0.0020920502092050207,3,0.8558293581008911,False
12383,4,0,168,268.21,5,1628.56,325.712,83,18.8,18.5,0,0.1666666666666666,Belgium,0,0.0,0,0.0,3,0.9146552085876465,False
12385,0,195,195,1668.4,1,1668.4,1668.4,64,64.0,0.0,1,0.5,Belgium,0,0.0,0,1.0,3,0.4243345081806183,False
12386,1,153,182,143.0,2,401.9,200.95,10,5.0,0.0,0,0.0,Australia,0,0.0,0,0.8406593406593407,0,0.3534222662448883,True
12387,0,231,231,143.94,1,143.94,143.94,9,9.0,0.0,1,0.0,Australia,0,0.0,0,1.0,0,0.21609383970499038,False
12388,4,91,398,356.27000000000004,5,1886.7,377.34,52,16.2,59.174177926975325,0,0.0,Australia,3,2014.41,1,0.228643216080402,0,0.6593298554420471,False
12389,2,218,471,634.24,3,1433.33,477.77666666666664,41,16.333333333333332,53.74011537017761,0,0.0,Australia,0,0.0,0,0.46284501061571126,0,0.5109650909900665,False
12391,4,280,478,393.1975,5,2285.1800000000003,457.03600000000006,159,33.4,61.37589103222861,0,0.1666666666666666,Cyprus,1,439.66,1,0.5857740585774058,7,0.47205697894096377,False
12392,0,407,407,234.75000000000003,1,234.75000000000003,234.75000000000003,7,7.0,0.0,1,0.0,Australia,0,0.0,0,1.0,0,0.10701623782515526,True
12393,4,61,244,393.5375,5,1877.95,375.59,53,16.4,32.78592177546129,0,0.1666666666666666,Australia,1,521.5,1,0.25,0,0.8195427894592285,False
12394,0,33,33,351.08,1,351.08,351.08,20,20.0,0.0,1,0.0,Belgium,1,729.4,1,1.0,3,0.5769976496696472,False
12395,8,27,418,239.1025,9,2948.26,327.58444444444444,116,17.333333333333332,34.83430164979013,0,0.1818181818181818,Belgium,6,1292.91,1,0.0645933014354067,3,0.9808278918266297,True
12396,0,490,490,931.43,1,931.43,931.43,65,65.0,0.0,1,0.0,RSA,0,0.0,0,1.0,29,0.1802201345562935,False
12399,4,29,460,335.40500000000003,5,1532.6,306.52000000000004,54,17.6,39.8706241068116,0,0.0,Belgium,2,309.7,1,0.06304347826086956,3,0.8456639528274537,False
12400,0,230,230,205.25,1,205.25,205.25,11,11.0,0.0,1,0.0,Australia,0,0.0,0,1.0,0,0.30664960145950315,True
12401,0,119,119,69.3,1,69.3,69.3,4,4.0,0.0,1,0.0,Belgium,0,0.0,0,1.0,3,0.2062476858496666,True
12402,5,139,486,192.04,6,1136.9,189.48333333333335,42,10.666666666666666,7.874007874011811,0,0.1428571428571428,Belgium,0,0.0,0,0.28600823045267487,3,0.5546878099441528,False
12403,0,337,337,555.6600000000001,1,555.6600000000001,555.6600000000001,3,3.0,0.0,1,0.0,Denmark,1,391.7,1,1.0,9,0.21609383970499038,False
12404,0,498,498,63.24,1,63.24,63.24,1,1.0,0.0,1,0.0,Finland,0,0.0,0,1.0,12,0.03895348906517029,False
12406,2,215,513,1046.93,3,2975.0600000000004,991.6866666666668,44,20.333333333333332,67.17514421272202,0,0.25,Denmark,2,3415.3,1,0.4191033138401559,9,0.5530517339706421,False
12407,1,51,80,239.66,2,450.96,225.48,22,12.5,0.0,0,0.0,Belgium,3,1056.16,1,0.6375,3,0.6201814651489258,False
12408,4,76,314,467.6774999999999,5,2049.81,409.962,65,17.2,51.69381007432128,0,0.4444444444444444,Belgium,3,1855.96,1,0.24203821656050956,3,0.7138790845870971,False
12409,3,236,381,1848.0466666666664,4,12346.62,3086.6549999999997,125,38.75,48.99319680663156,0,0.3333333333333333,Switzerland,3,11072.67,1,0.6194225721784777,34,0.6265044569969177,False
12410,2,124,318,266.66499999999996,3,773.71,257.90333333333336,35,12.666666666666666,136.47160876900367,0,0.25,Switzerland,0,0.0,0,0.389937106918239,34,0.518054872751236,False
12411,0,225,225,346.9,1,346.9,346.9,22,22.0,0.0,1,0.0,Australia,0,0.0,0,1.0,0,0.3534222662448883,False
12412,2,218,355,313.585,3,1262.05,420.68333333333334,49,21.0,23.33452377915607,0,0.4,Denmark,3,1142.88,1,0.6140845070422535,9,0.5604061722755432,False
12413,2,52,218,254.95,3,695.25,231.75,36,13.0,24.748737341529164,0,0.4,France,1,176.20000000000002,1,0.23853211009174313,13,0.7299893975257874,False
12414,3,33,279,147.47,4,532.41,133.1025,19,5.5,71.50058274820796,0,0.25,Austria,0,0.0,0,0.11827956989247312,1,0.5100028991699219,False
12415,9,19,343,7519.555555555557,10,70002.74,7000.274,293,48.3,30.931824675854116,0,0.125,Australia,14,74030.63,1,0.05539358600583091,0,0.9825925946235656,False
12416,0,472,472,202.56,1,202.56,202.56,11,11.0,0.0,1,0.0,Australia,0,0.0,0,1.0,0,0.07130195125937462,False
12417,15,3,549,277.16533333333336,16,4436.58,277.28625,209,15.875,21.322244141696135,0,0.2727272727272727,Belgium,4,1561.83,1,0.00546448087431694,3,0.9899999976158143,False
12418,2,229,446,504.34,3,1352.62,450.8733333333334,61,22.666666666666668,77.07463914933368,0,0.25,Switzerland,1,668.58,1,0.5134529147982063,34,0.49272364377975464,False
